"call","position","mismatch","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean","reads","mean_match_and_miss","reads_match_and_miss","empirical_qscore","group"
"miss",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,16,9,9,0,0,0,0,0,0,0,0,6,12,7,22,74,120,74,13,1245,0,0,0,35.4456587735276,1647,35.9036281356326,895832,27.3553297264198,"MiSeq"
"miss",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,21,12,8,0,0,0,0,0,0,0,0,9,4,8,30,90,133,100,24,821,0,0,0,34.7475057559478,1303,35.8343729627877,895832,28.3728215609915,"MiSeq"
"miss",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,6,14,28,16,0,0,0,0,0,0,0,0,4,3,6,27,90,89,65,27,865,0,0,0,34.0970432145565,1319,35.8421266487466,895832,28.3198177626537,"MiSeq"
"miss",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,2,42,16,11,0,0,0,0,0,0,0,0,6,7,4,28,84,100,71,22,1131,0,0,0,33.9678593086719,1649,35.8625445396012,895832,27.3500591616721,"MiSeq"
"miss",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,5,17,7,0,0,0,0,0,0,0,0,4,3,8,31,78,105,74,16,777,0,0,0,34.6966101694915,1180,36.0060614043705,895832,28.8034456450561,"MiSeq"
"miss",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10,17,20,5,0,0,0,0,0,0,0,0,3,7,3,22,79,79,51,17,945,0,0,0,34.661351556568,1317,35.7800603238107,895832,28.3264079684995,"MiSeq"
"miss",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,7,14,26,10,1,0,0,0,0,0,0,0,0,4,0,12,12,18,6,14,76,1628,0,0,36.3146303093865,1907,37.5441622982881,895832,26.7187587876573,"MiSeq"
"miss",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,7,6,6,1,0,0,0,0,0,0,0,0,0,0,10,10,7,8,3,58,879,0,0,36.9527559055118,1016,37.5414894280831,657071,28.1071859196533,"MiSeq"
"miss",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,7,6,0,0,0,0,0,0,0,0,0,1,0,7,6,2,5,10,41,543,0,0,36.8108527131783,645,37.6282639312215,475730,28.6780082468382,"MiSeq"
"miss",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,1,0,0,0,0,0,0,0,0,0,1,0,4,6,1,0,2,8,263,0,0,36.5860927152318,302,37.5985421515387,185616,27.886084664915,"MiSeq"
"miss",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,29,15,13,0,0,0,0,0,0,0,0,32,34,30,218,690,914,547,110,5965,0,0,0,35.6557866911849,8701,35.8989579546962,927119,20.2756631276632,"MiSeq"
"miss",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,41,19,14,0,0,0,0,0,0,0,0,27,24,40,238,840,1117,710,120,6459,0,0,0,35.594794015167,9758,35.8325090953804,927119,19.7777466764598,"MiSeq"
"miss",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,11,38,39,18,0,0,0,0,0,0,0,0,35,21,66,247,774,879,635,119,6714,0,0,0,35.5126575791739,9757,35.8391112683485,927119,19.7781917643227,"MiSeq"
"miss",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,210,10,69,24,20,0,0,0,0,0,0,0,0,29,44,53,246,760,919,620,128,5955,0,0,0,35.2407305534162,9089,35.854096399707,927119,20.0861937799918,"MiSeq"
"miss",5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,6,18,30,13,0,0,0,0,0,0,0,0,43,13,54,250,741,958,639,119,6846,0,0,0,35.697419223735,9842,35.9977586480268,927119,19.7405212072416,"MiSeq"
